Start;End;Sleep Quality;Regularity;Mood;Steps;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2021-08-12 23:42:44;2021-08-13 06:49:00;73%;—;;0;;;48.685875;25575.832;;;false;0;;;
2021-08-13 21:13:40;2021-08-14 08:37:23;93%;64%;;0;;;44.422813;41023.318;;;false;0;;;
2021-08-14 22:08:58;2021-08-15 04:48:43;45%;62%;;0;;;94.70592;23984.457;;;false;0;;;
2021-08-15 21:08:51;2021-08-16 05:10:01;76%;71%;;0;;;69.66552;28869.459;;;false;0;;;
2021-08-16 20:57:56;2021-08-17 05:03:17;85%;82%;OK;0;101.020004;Mỹ Đình;44.529137;29121.817;;;true;56;82 ;Cloudy;Good day
2021-08-17 21:44:49;2021-08-18 07:01:35;91%;87%;Bad;0;100.770004;Mỹ Đình;57.28848;33406.156;;;false;0;82 ;Cloudy;Good day
2021-08-18 20:55:45;2021-08-19 05:01:12;76%;83%;OK;0;100.61;Mỹ Đình;73.20964;29127.122;;;false;0;82 ;Cloudy;Tired
2021-08-19 21:01:06;2021-08-20 04:42:37;80%;83%;OK;0;100.8;;52.86978;27690.881;;;false;0;82 ;Cloudy;Good day
2021-08-20 21:38:06;2021-08-21 05:56:32;86%;85%;Good;0;100.78;;54.319603;29906.291;;;false;0;81 ;Sunny;Good day
2021-08-21 21:38:47;2021-08-22 06:01:50;88%;93%;Good;0;100.63;Mỹ Đình;51.9361;30182.878;;;false;0;83 ;Cloudy;
2021-08-22 22:16:04;2021-08-23 05:52:12;77%;92%;Good;0;100.33;Mỹ Đình;57.41106;27367.997;;;false;0;84 ;Cloudy;Good day
2021-08-23 22:25:54;2021-08-24 06:34:51;91%;95%;Good;0;100.409996;Mỹ Đình;38.277187;29336.869;;;false;0;82 ;Cloudy;Headache
2021-08-24 21:22:20;2021-08-25 05:43:18;84%;90%;Good;0;100.659996;Mỹ Đình;56.627884;30058.029;;;true;1058;80 ;Rain;Stressful day
2021-08-25 23:11:23;2021-08-26 06:03:28;65%;86%;OK;0;100.67;Mỹ Đình;67.563446;24725.037;;;true;366;79 ;Rainy showers;Headache:Stressful day
2021-08-26 22:05:27;2021-08-27 06:05:25;88%;85%;OK;0;101.03;Mỹ Đình;42.448837;28798.098;;;true;247;77 ;Rain;Tired
2021-08-27 23:38:56;2021-08-28 06:54:08;73%;84%;;0;;;85.658615;26111.89211392;;;true;1925;;;
2021-08-28 23:21:02;2021-08-29 06:12:39;61%;87%;;0;100.36342;Hanoi;65.812454;24696.560236032;;;false;0;77 ;;
2021-08-31 22:29:19;2021-09-01 06:19:54;82%;91%;;0;;;75.92317;28234.056305152;;;true;82;;;
2021-09-01 22:30:07;2021-09-02 05:45:46;76%;95%;;0;100.12008;Hanoi;64.14631;26138.933703936;;;false;0;77 ;;null
2021-09-03 21:20:51;2021-09-04 06:19:04;91%;90%;Good;0;100.62;;57.08747;32292.732;;;false;0;79 ;Sunny;
2021-09-04 22:56:12;2021-09-05 07:30:50;97%;81%;OK;0;100.68;Mỹ Đình;42.67999;30877.515;;;false;0;77 ;Fair;
2021-09-05 21:31:55;2021-09-06 06:04:37;93%;76%;Bad;0;;Mỹ Đình;47.13631;30762.358;;;true;379;;;
2021-09-06 21:42:40;2021-09-07 06:15:33;88%;83%;OK;0;101.15;Mỹ Đình;54.0935;30772.403;;;true;60;78 ;Rainy showers;
2021-09-07 22:02:26;2021-09-08 05:53:30;69%;89%;OK;0;;Mỹ Đình;70.73428;28263.935;;;false;0;77 ;;
2021-09-09 21:29:14;2021-09-10 06:16:04;100%;93%;OK;0;101.06;Mỹ Đình;13.637705;31609.983;;;false;0;76 ;Sunny;
2021-09-12 23:09:32;2021-09-13 07:02:03;81%;79%;Good;0;100.37;Mỹ Đình;50.48117;28350.894;;;false;0;82 ;Fair;
2021-09-14 22:22:55;2021-09-15 06:50:48;89%;91%;Good;0;;Mỹ Đình;46.503384;30473.145;;;false;0;;;
2021-09-16 22:12:10;2021-09-17 06:50:30;95%;98%;Good;0;100.89;Mỹ Đình;40.433876;31099.737;;;false;0;78 ;Cloudy;
2021-09-17 22:23:46;2021-09-18 06:29:53;80%;96%;Good;0;100.83;;57.24126;29167.087;;;true;57;80 ;Cloudy;
2021-09-18 23:06:29;2021-09-19 07:07:18;80%;92%;OK;0;;;55.15089;28848.905;;;false;0;;;
2021-09-19 22:35:10;2021-09-20 07:14:48;88%;93%;OK;0;101.07;Mỹ Đình;52.506073;31178.162;;;false;0;80 ;Cloudy;Good day
2021-09-20 23:10:21;2021-09-21 07:19:41;76%;92%;Bad;0;;;64.9284;29360.024;;;false;0;;;
2021-09-23 00:45:51;2021-09-23 08:45:21;90%;84%;OK;0;;;35.64241;28769.632;;;false;0;;;
2021-09-23 22:39:21;2021-09-24 07:10:27;83%;72%;OK;0;;;58.85518;30665.985;;;false;0;;;Tired
2021-09-24 21:31:23;2021-09-25 07:01:53;92%;79%;OK;0;;;51.352345;34229.531;;;false;0;;;
2021-09-25 22:05:51;2021-09-26 06:36:19;91%;83%;OK;0;;;44.373787;30628.274;;;false;0;;;
2021-09-26 22:22:23;2021-09-27 06:48:35;95%;92%;OK;0;;;36.128345;30371.971;;;true;212;;;
2021-09-27 22:51:06;2021-09-28 07:15:34;86%;93%;OK;0;101.090004;Mỹ Đình;51.113377;30267.659;;;true;61;77 ;Fair;
2021-09-28 22:32:12;2021-09-29 07:12:15;87%;95%;OK;0;;;52.773994;31202.483;;;false;0;;;
2021-09-29 23:17:49;2021-09-30 07:15:04;84%;94%;OK;0;;;46.696396;28634.513;;;false;0;;;
2021-10-01 23:16:48;2021-10-02 07:25:45;87%;95%;OK;0;;;45.2184;29336.231;;;false;0;;;
2021-10-03 23:00:41;2021-10-04 07:21:16;95%;97%;OK;0;;;35.932632;30034.6;;;false;0;;;Good day
2021-10-04 23:12:39;2021-10-05 07:30:09;100%;97%;OK;0;;;18.210012;29850.724;;;false;0;;;
2021-10-05 22:37:38;2021-10-06 06:38:08;83%;92%;OK;0;;;47.330853;28829.623;;;true;61;;;
2021-10-08 21:36:26;2021-10-09 06:30:49;81%;90%;OK;0;;;63.916737;32063.158;;;false;0;;;Tea
2021-10-09 21:29:56;2021-10-10 06:51:03;88%;96%;OK;0;;;54.77394;33666.872;;;false;0;;;
2021-10-10 21:36:18;2021-10-11 06:20:46;93%;95%;OK;0;;;42.266438;31467.917;;;false;0;;;
2021-10-11 20:24:46;2021-10-12 06:30:24;91%;93%;OK;0;;;49.761047;36337.934;21-10-12 06:02:46;21-10-12 06:27:00;false;0;;;
2021-10-13 23:28:27;2021-10-14 06:54:28;81%;79%;OK;0;;;39.478825;26761.275;21-10-14 06:33:28;21-10-14 06:57:00;false;0;;;
2021-10-14 22:57:59;2021-10-15 06:42:57;80%;82%;OK;0;;;46.67898;27897.792;21-10-15 06:18:07;21-10-15 06:45:00;true;363;;;
2021-10-15 22:41:22;2021-10-16 07:12:02;80%;93%;OK;0;;;59.627182;30639.832;21-10-16 07:00:14;21-10-16 07:25:00;false;0;;;
2021-10-17 22:48:53;2021-10-18 07:25:21;82%;95%;OK;0;;;57.774387;30988.156;21-10-18 07:01:08;21-10-18 07:25:00;false;0;;;
